Rank,Country
1,Finland
2,Ireland
3,Norway
4,France
5,Netherlands
6,Japan
7,Sweden
7,Canada
9,United Kingdom
10,Portugal
11,Switzerland
12,Austria
13,United States
14,Denmark
15,New Zealand
16,Czech Republic
17,Belgium
18,Costa Rica
19,Germany
20,Spain
21,Poland
22,Australia
23,United Arab Emirates
24,Israel
25,Chile
25,China
27,Italy
28,Singapore
29,Bulgaria
30,Qatar
31,Greece
32,Kazakhstan
33,Uruguay
34,Hungary
35,Oman
36,Slovakia
37,Peru
38,Bahrain
39,South Korea
40,Panama
41,Saudi Arabia
41,Malaysia
43,Russia
43,Mexico
45,Romania
46,Vietnam
47,Jordan
48,Ecuador
49,Turkey
50,Kuwait
51,Brazil
52,Dominican Republic
52,Bolivia
54,Argentina
55,Belarus
56,El Salvador
57,Morocco
58,Guatemala
59,South Africa
60,Honduras
61,Serbia
62,Tunisia
63,Indonesia
64,Thailand
64,Colombia
66,Azerbaijan
67,Philippines
68,Algeria
68,India
70,Paraguay
71,Ukraine
72,Myanmar
73,Uzbekistan
74,Nepal
75,Tajikistan
76,Nicaragua
77,Egypt
78,Cambodia
79,Sri Lanka
80,Bangladesh
81,Laos
82,Kenya
83,Ghana
84,Pakistan
85,Mali
86,Senegal
87,Botswana
88,Rwanda
89,Burkina Faso
90,Tanzania
91,Benin
91,Malawi
93,Uganda
94,Mozambique
95,C̫te d'Ivoire
96,Cameroon
97,Niger
98,Togo
99,Guinea
100,Ethiopia
101,Angola
102,Zambia
103,Chad
104,Democratic Republic of Congo
105,Sudan
106,Venezuela
107,Nigeria
108,Burundi
108,Madagascar
110,Sierra Leone
111,Yemen
112,Haiti
113,Syria